KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_ELITE_SHIELDED1_DESC,"At the start of each round, if it has less than 3 [img:shield], set [img:shield] to 3. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 3 [img:shield], se establece [img:shield] en 3. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 3, [img:shield] devient 3. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 3&nbsp;[img:shield] hat, wird ihr [img:shield] auf 3 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 3 allo [img:shield], imposta lo [img:shield] a 3. -20% salute massima.","No início de cada rodada, se possuir menos de 3 de [img:shield], define o [img:shield] para 3. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​3未満なら​3に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_BOSSSHIELDED1_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_BOSSSHIELDED1_DESC,"At the start of each round, if it has less than 4 [img:shield], set [img:shield] to 4. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 4 [img:shield], se establece [img:shield] en 4. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 4, [img:shield] devient 4. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 4&nbsp;[img:shield] hat, wird ihr [img:shield] auf 4 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 4 allo [img:shield], imposta lo [img:shield] a 4. -20% salute massima.","No início de cada rodada, se possuir menos de 4 de [img:shield], define o [img:shield] para 4. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​4未満なら​4に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_SHIELDED2_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_SHIELDED2_DESC,"At the start of each round, if it has less than 5 [img:shield], set [img:shield] to 5. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 5 [img:shield], se establece [img:shield] en 5. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 5, [img:shield] devient 5. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 5&nbsp;[img:shield] hat, wird ihr [img:shield] auf 5 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 5 allo [img:shield], imposta lo [img:shield] a 5. -20% salute massima.","No início de cada rodada, se possuir menos de 5 de [img:shield], define o [img:shield] para 5. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​5未満なら​5に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_BOSSSHIELDED2_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_BOSSSHIELDED2_DESC,"At the start of each round, if it has less than 8 [img:shield], set [img:shield] to 8. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 8 [img:shield], se establece [img:shield] en 8. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 8, [img:shield] devient 8. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 8&nbsp;[img:shield] hat, wird ihr [img:shield] auf 8 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 8 allo [img:shield], imposta lo [img:shield] a 8. -20% salute massima.","No início de cada rodada, se possuir menos de 8 de [img:shield], define o [img:shield] para 8. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​8未満なら​8に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_SHIELDED3_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_SHIELDED3_DESC,"At the start of each round, if it has less than 7 [img:shield], set [img:shield] to 7. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 7 [img:shield], se establece [img:shield] en 7. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 7, [img:shield] devient 7. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 7&nbsp;[img:shield] hat, wird ihr [img:shield] auf 7 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 7 allo [img:shield], imposta lo [img:shield] a 7. -20% salute massima.","No início de cada rodada, se possuir menos de 7 de [img:shield], define o [img:shield] para 7. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​7未満なら​7に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_BOSSSHIELDED3_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_BOSSSHIELDED3_DESC,"At the start of each round, if it has less than 12 [img:shield], set [img:shield] to 12. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 12 [img:shield], se establece [img:shield] en 12. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 12, [img:shield] devient 12. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 12&nbsp;[img:shield] hat, wird ihr [img:shield] auf 12 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 12 allo [img:shield], imposta lo [img:shield] a 12. -20% salute massima.","No início de cada rodada, se possuir menos de 12 de [img:shield], define o [img:shield] para 12. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​12未満なら​12に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_SHIELDED4_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_SHIELDED4_DESC,"At the start of each round, if it has less than 9 [img:shield], set [img:shield] to 9. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 9 [img:shield], se establece [img:shield] en 9. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 9, [img:shield] devient 9. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 9&nbsp;[img:shield] hat, wird ihr [img:shield] auf 9 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 9 allo [img:shield], imposta lo [img:shield] a 9. -20% salute massima.","No início de cada rodada, se possuir menos de 9 de [img:shield], define o [img:shield] para 9. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​9未満なら​9に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_BOSSSHIELDED4_NAME,Elite Buff: Shielded,,Ventaja de élite: Escudo,Bonus d'élite&nbsp;: Blindage,Elite-Stärkung: Schild,Bonus Élite: Scudo,Reforço de Elite: Escudo,エリートバフ:シールド持ち
KEYWORD_ELITE_BOSSSHIELDED4_DESC,"At the start of each round, if it has less than 16 [img:shield], set [img:shield] to 16. -20% max health.",,"Al inicio de cada ronda, si tiene menos de 16 [img:shield], se establece [img:shield] en 16. Pierde un 20 % del máximo de salud.","Au début de chaque manche, si l'unité a moins de [img:shield] 16, [img:shield] devient 16. PV max. -20&nbsp;%.","Wenn diese Einheit am Anfang der Runde weniger als 16&nbsp;[img:shield] hat, wird ihr [img:shield] auf 16 gesetzt. -20&nbsp;% max. LP.","All'inizio di ogni round, se ha meno di 16 allo [img:shield], imposta lo [img:shield] a 16. -20% salute massima.","No início de cada rodada, se possuir menos de 16 de [img:shield], define o [img:shield] para 16. -20% de saúde máx.",各ラウンド開始時、[img:shield]が​16未満なら​16に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_PROTECTED_NAME,Elite Buff: Protected,,Ventaja de élite: Protección,Bonus d'élite&nbsp;: Protection,Elite-Stärkung: Geschützt,Bonus Élite: Protezione,Reforço de Elite: Proteção,エリートバフ:守護
KEYWORD_ELITE_PROTECTED_DESC,"At the end of each turn, set [img:divineshield] to 1 if it had no [img:divineshield]. -20% max health.",,"Al final de cada turno, [img:divineshield] se establece en 1 si no tenía [img:divineshield]. Pierde un 20 % del máximo de salud.","À la fin de chaque tour, [img:divineshield] devient 1&nbsp;si l'unité n'avait pas de [img:divineshield]. PV max. -20&nbsp;%.","Wenn diese Einheit am Ende eines Zuges kein [img:divineshield] hat, wird ihr [img:divineshield] auf 1 gesetzt. -20&nbsp;% max. LP.","Alla fine di ogni turno, imposta [img:divineshield] a 1 se non aveva [img:divineshield]. -20% salute massima.","No início de cada turno, se não possuir nenhum [img:divineshield], define o [img:divineshield] para 1. -20% de saúde máx.",各ターン終了時、[img:divineshield]が​なければ​1に​セットにゃ。​最大体力-20%。
KEYWORD_ELITE_SPEEDY_NAME,Elite Buff: Speedy,,Ventaja de élite: Velocidad,Bonus d'élite&nbsp;: Célérité,Elite-Stärkung: Flink,Bonus Élite: Velocità,Reforço de Elite: Velocidade,エリートバフ:俊足
KEYWORD_ELITE_SPEEDY_DESC,+4 [img:spd],,+4 de [img:spd],[img:spd] +4.,+4&nbsp;[img:spd],+4 alla [img:spd],+4 de [img:spd],+4 [img:spd]
KEYWORD_ELITE_FLAMING_NAME,Elite Buff: Flaming,,Ventaja de élite: Llama,Bonus d'élite&nbsp;: Brasier,Elite-Stärkung: Lodernd,Bonus Élite: Fiamme,Reforço de Elite: Chamas,エリートバフ:燃える
KEYWORD_ELITE_FLAMING_DESC,Fire Immune. Leaves a trail of fire.,,Inmune al fuego. Deja un rastro de fuego.,Immunité au feu. L'unité laisse une traînée de feu derrière elle.,Immun gegen Feuer. Hinterlässt eine Feuerspur.,Immunità al fuoco. Lascia una scia di fuoco.,Imune contra fogo. Deixa um rastro de fogo.,炎免疫にゃ。​炎の​道を​残すにゃ。[b][/b]
KEYWORD_ELITE_BOSSFLAMING_NAME,Elite Buff: Flaming,,Ventaja de élite: Llama,Bonus d'élite&nbsp;: Brasier,Elite-Stärkung: Lodernd,Bonus Élite: Fiamme,Reforço de Elite: Chamas,エリートバフ:燃える
KEYWORD_ELITE_BOSSFLAMING_DESC,Fire Immune. Leaves a trail of fire. Applies Burn 1 to attackers.,,Inmune al fuego. Deja un rastro de fuego. Aplica 1 de quemadura a los atacantes.,Immunité au feu. L'unité laisse une traînée de feu derrière elle. Inflige Brûlure +1&nbsp;aux attaquants.,Immun gegen Feuer. Hinterlässt eine Feuerspur. Verursacht Verbrennung&nbsp;1 bei Angreifern.,Immunità al fuoco. Lascia una scia di fuoco. Applica Bruciatura 1 agli attaccanti.,Imune contra fogo. Deixa um rastro de fogo. Aplica queimadura 1 em agressores.,炎免疫にゃ。​炎の​道を​残すにゃ。​攻撃者に​燃焼1を​付与するにゃ。[b][/b]
KEYWORD_ELITE_CREEPY_NAME,Elite Buff: Creepy,,Ventaja de élite: Líquido tóxico,Bonus d'élite&nbsp;: Toxicité,Elite-Stärkung: Ekelig,Bonus Élite: Melma,Reforço de Elite: Gosma,エリートバフ:気味悪い
KEYWORD_ELITE_CREEPY_DESC,Basic attack inflicts Poison. Leaves a trail of creep.,,El ataque básico inflige veneno. Deja un rastro de líquido tóxico.,Votre attaque de base inflige Poison et laisse une traînée de bave toxique.,Grundangriffe verursachen Gift. Hinterlässt Ekelschleim.,L'attacco base infligge Veleno. Lascia una scia di melma.,O ataque básico aplica veneno. Deixa um rastro de gosma.,通常攻撃が​毒を​付与するにゃ。​不気味な​道を​残すにゃ。[b][/b]
KEYWORD_ELITE_LUCKY_NAME,Elite Buff: Lucky,,Ventaja de élite: Suerte,Bonus d'élite&nbsp;: Bonne fortune,Elite Stärkung: Glückspilz,Bonus Élite: Fortuna,Reforço de Elite: Sorte,エリートバフ:幸運
KEYWORD_ELITE_LUCKY_DESC,+3 [img:lck]. +10% Crit Chance. +10% Dodge Chance.,,+3 [img:lck]. +10 % de probabilidad de crítico. +10 % de probabilidad de esquiva.,[img:lck] +3. Chances de coup critique +10&nbsp;%. Chances d'esquive +10&nbsp;%.,+3&nbsp;[img:lck]. +10&nbsp;% kritische Trefferchance. +10&nbsp;% Ausweichchance.,+3 alla [img:lck]. +10% di probabilità di colpo critico. +10% di probabilità di schivata.,+3 de [img:lck]. +10% de chance de crítico. +10% de chance de esquiva.,+3 [img:lck]、​+10%クリティカル率、​+10%回避率にゃ。
KEYWORD_ELITE_STATIC_NAME,Elite Buff: Static,,Ventaja de élite: Estática,Bonus d'élite&nbsp;: Arcs électriques,Elite-Stärkung: Statisch,Bonus Élite: Statico,Reforço de Elite: Estática,エリートバフ:静電気
KEYWORD_ELITE_STATIC_DESC,Arcs 1 electric damage to neighbors whenever it moves.,,Inflige 1 de daño eléctrico a las unidades adyacentes siempre que se mueve.,Inflige 1&nbsp;dégât électrique aux unités adjacentes chaque fois qu'elles se déplacent.,"Feuert 1&nbsp;elektrischen Schaden auf benachbarte Einheiten, wenn es sich bewegt.",Infligge 1 danno elettrico ai vicini ogni volta che si muove.,Causa 1 de dano elétrico em arco a unidades próximas ao se mover.,移動する​たびに​隣接する​対象に​1電気ダメージを​放つにゃ。[b][/b]
KEYWORD_ELITE_BOUNCY_NAME,Elite Buff: Bouncy,,Ventaja de élite: Salto,Bonus d'élite&nbsp;: Rebond,Elite-Stärkung: Federnd,Bonus Élite: Rimbalzo,Reforço de Elite: Ricocheteio,エリートバフ:弾む
KEYWORD_ELITE_BOUNCY_DESC,"When hit, bounces itself and its attacker apart.",,"Al recibir un golpe, rebota para separarse del atacante.","Quand l'unité est touchée, elle repousse en arrière à la fois elle-même et son attaquant.","Federt sich und Angreifer zurück, wenn es angegriffen wird.","Se si muove, allontana sia sé che il suo attaccante con un rimbalzo.","Ao sofrer golpes, ricocheteia-se para afastar seu agressor.",攻撃を​受けると​自分と​攻撃者を​弾き飛ばすにゃ。[b][/b]
KEYWORD_ELITE_MIRROR_NAME,Elite Buff: Mirror,,Ventaja de élite: Espejo,Bonus d'élite&nbsp;: Reflets,Elite-Stärkung: Spiegel,Bonus Élite: Specchio,Reforço de Elite: Espelho,エリートバフ:ミラー
KEYWORD_ELITE_MIRROR_DESC,Reflects all projectiles. Takes 2 damage when it reflects a projectile.,,Devuelve todos los proyectiles. Sufre 2 de daño al devolver un proyectil.,Renvoie tous les projectiles. L'unité subit 2&nbsp;dégâts par réflexion de projectile.,"Reflektiert alle Geschosse. Erleidet 2&nbsp;Schaden, wenn es ein Geschoss reflektiert.",Riflette tutti i proiettili. Subisce 2 di danno quando riflette un proiettile.,Reflete todos os projéteis. Sofre 2 de dano ao refletir um projétil.,全ての​弾道を​反射するにゃ。​反射時に​2ダメージを​受けるにゃ。[b][/b]
KEYWORD_ELITE_RESONANT_NAME,Elite Buff: Resonant,,Ventaja de élite: Resonancia,Bonus d'élite&nbsp;: Résonance,Elite-Stärkung: Resonant,Bonus Élite: Risonanza,Reforço de Elite: Ressonante,エリートバフ:共鳴
KEYWORD_ELITE_RESONANT_DESC,"Whenever an enemy casts a spell, gain All Stats Up 1 and heal 1.",,"Siempre que un enemigo lanza un hechizo, obtiene 1 de aumento total y recupera 1 PS.","Chaque fois qu'un ennemi lance un sort, Hausse de stats +1&nbsp;et PV +1.","Erhält einen Bonus auf alle Attribute und heilt sich um 1&nbsp;LP, wenn Gegner Zauber wirken.","Ogni volta che un nemico lancia un incantesimo, ottieni Aumento delle Statistiche 1 e recuperi 1 PS.","Sempre que um inimigo lançar um encantamento, obtenha todos os atributos aumentados 1 e cura 1.",敵が​スペルを​詠唱する​たびに​全ステータス上昇1と​1回復を​得るにゃ。[b][/b]
KEYWORD_ELITE_UNDYING_NAME,Elite Buff: Undying,,Ventaja de élite: Inmortalidad,Bonus d'élite&nbsp;: Non-vie,Elite-Stärkung: Unsterblich,Bonus Élite: Immortale,Reforço de Elite: Imortal,エリートバフ:不死身
KEYWORD_ELITE_UNDYING_DESC,Revives to 50% health at the end of the round. +2 Corpse Health.,,Resucita con un 50 % de salud al final de la ronda. +2 de salud de cadáver.,Réanimé avec 50&nbsp;% de PV en fin de manche. PV de cadavre +2.,Belebt sich am Ende der Runde mit 50&nbsp;% LP wieder. +2&nbsp;Leichenlebenspunkte.,Si rianima al 50% di salute alla fine del round. +2 a Salute Cadavere.,Revive com 50% de saúde no final da rodada. +2 de saúde de cadáver.,ラウンド終了時に​体力50%で​蘇生するにゃ。​死体体力+2。[b][/b]
KEYWORD_ELITE_SUBUNDYING_NAME,Elite Buff: Undying,,Ventaja de élite: Inmortalidad,Bonus d'élite&nbsp;: Non-vie,Elite-Stärkung: Unsterblich,Bonus Élite: Immortale,Reforço de Elite: Imortal,エリートバフ:不死身
KEYWORD_ELITE_SUBUNDYING_DESC,Revives to 50% health at the end of the round.,,Resucita con un 50 % de salud al final de la ronda.,Réanimé avec 50&nbsp;% de PV en fin de manche.,Belebt sich am Ende der Runde mit 50&nbsp;% LP wieder.,Si rianima al 50% di salute alla fine del round.,Revive com 50% de saúde no final da rodada.,ラウンド終了時に​体力50%で​蘇生するにゃ。[b][/b]
KEYWORD_ELITE_HEALTHY_NAME,Elite Buff: Healthy,,Ventaja de élite: Salud,Bonus d'élite&nbsp;: Vigueur,Elite-Stärkung: Kerngesund,Bonus Élite: Salute,Reforço de Elite: Saudável,エリートバフ:健康体
KEYWORD_ELITE_HEALTHY_DESC,+3 Health Regen. +20 unfilled max health.,,+3 de regeneración de salud. +20 del máximo de salud sin llenar.,Régénération de PV +3. PV max. vacants +20.,+3&nbsp;Lebensregeneration. +20&nbsp;nicht aufgefüllte LP.,+3 a Rigenerazione Salute. +20 salute massima non riempita.,+3 de regeneração de saúde. +20 de saúde máxima não preenchida.,+3 HP再生にゃ。​未充填最大体力+20。[b][/b]
KEYWORD_ELITE_SANDY_NAME,Elite Buff: Sandy,,Ventaja de élite: Arena,Bonus d'élite&nbsp;: Sable,Elite-Stärkung: Sandmann,Bonus Élite: Sabbia,Reforço de Elite: Areia,エリートバフ:砂まみれ
KEYWORD_ELITE_SANDY_DESC,+10% Dodge Chance. Starts a sandstorm when it dies.,,+10 % de probabilidad de esquiva. Provoca una tormenta de arena al morir.,Chances d'esquive +10&nbsp;%. Déclenche une tempête de sable à sa mort.,"+10&nbsp;% Ausweichchance. Ruft einen Sandsturm, wenn es stirbt.",+10% di probabilità di schivata. Avvia una tempesta di sabbia quando muore.,+10% de chance de esquiva. Inicia uma tempestade de areia ao morrer.,+10%回避率にゃ。​死亡時に​砂嵐を​起こすにゃ。[b][/b]
KEYWORD_ELITE_INFESTED_NAME,Elite Buff: Infested,,Ventaja de élite: Infestación,Bonus d'élite&nbsp;: Essaim,Elite-Stärkung: Infiziert,Bonus Élite: Infestazione,Reforço de Elite: Infestação,エリートバフ:寄生
KEYWORD_ELITE_INFESTED_DESC,Spawns a fly swarm when it dies.,,Genera un enjambre de moscas al morir.,Invoque un essaim de mouches à sa mort.,"Ruft einen Fliegenschwarm, wenn es stirbt.","Quando muore, genera uno sciame di mosche",Gera um enxame de moscas ao morrer.,死亡時に​ハエの​群れを​召喚するにゃ。[b][/b]
KEYWORD_ELITE_ABSORBANT_NAME,Elite Buff: Absorbent,,Ventaja de élite: Absorción,Bonus d'élite&nbsp;: Absorption,Elite-Stärkung: Absorbierend,Bonus Élite: Assorbimento,Reforço de Elite: Absorção,エリートバフ:吸収
KEYWORD_ELITE_ABSORBANT_DESC,"Drains all unused mana from units when they end their turn, and deals damage to them equal to the amount of mana drained.",,Absorbe todo el maná sin usar de las unidades cuando terminan el turno y les inflige un daño equivalente a la cantidad de maná absorbido.,Draine tout le mana inutilisé des unités à la fin de leur tour et leur inflige des dégâts égaux à la quantité de mana drainée.,"Saugt sämtliches unbenutztes Mana von Einheiten ab, wenn sie ihren Zug beenden und verursacht Schaden in Höhe des abgesaugten Manas.",Prosciuga tutto il mana inutilizzato dalle unità quando terminano il turno e infligge loro un danno pari alla quantità di mana prosciugato.,Drena toda a mana não utilizada por unidades que finalizarem seu turno e causa dano equivalente à mana drenada a elas.,ユニットが​ターン終了時に​全ての未使用マナを​吸い​取り、​吸い​取った​マナ分の​ダメージを​与えるにゃ。[b][/b]
KEYWORD_ELITE_DEPRESSING_NAME,Elite Buff: Depressing,,Ventaja de élite: Depresión,Bonus d'élite&nbsp;: Dépression,Elite-Stärkung: Deprimierend,Bonus Élite: Depressione,Reforço de Elite: Depressão,エリートバフ:陰鬱
KEYWORD_ELITE_DEPRESSING_DESC,"While alive, its enemies have -1 to all stats.",,"Mientras sigue con vida, los enemigos tienen -1 en todos los atributos.","Tant que cette unité est en vie, ses ennemis ont -1&nbsp;à toutes leurs stats.","Gegner erleiden einen Malus auf alle Attribute, während diese Einheit am Leben ist.","Finché è in vita, i suoi nemici hanno -1 a tutte le statistiche.","Enquanto estiver com vida, seus inimigos possuem -1 em todos os atributos.",生存中、​敵の​全ステータスが​-1にゃ。[b][/b]
KEYWORD_ELITE_SLIGHTLYDEPRESSING_NAME,Elite Buff: Slightly Depressing,,Ventaja de élite: Ligera depresión,Bonus d'élite&nbsp;: Déprime,Elite-Stärkung: Leicht deprimierend,Bonus Élite: Depressione Leggera,Reforço de Elite: Depressão Leve,エリートバフ:ちょっと​陰鬱
KEYWORD_ELITE_SLIGHTLYDEPRESSING_DESC,"While alive, adjacent enemies have -1 to all stats.",,"Mientras sigue con vida, los enemigos adyacentes tienen -1 en todos los atributos.","Tant que cette unité est en vie, ses ennemis adjacents ont -1&nbsp;à toutes leurs stats.","Benachbarte Gegner erleiden einen Malus auf alle Attribute, während diese Einheit am Leben ist.","Finché è in vita, i nemici adiacenti hanno -1 a tutte le statistiche.","Enquanto estiver com vida, inimigos adjacentes possuem -1 em todos os atributos.",生存中、​隣接する​敵の​全ステータスが​-1にゃ。[b][/b]
KEYWORD_ELITE_EVOLVING_NAME,Elite Buff: Evolving,,Ventaja de élite: Evolución,Bonus d'élite&nbsp;: Évolution,Elite-Stärkung: Entwicklungsfroh,Bonus Élite: Evoluzione,Reforço de Elite: Evolução,エリートバフ:進化
KEYWORD_ELITE_EVOLVING_DESC,"At the end of each round, gain a random Elite Buff.",,"Al final de cada ronda, obtiene una ventaja de élite al azar.","À la fin de chaque manche, bénéficie d'un bonus d'élite aléatoire.",Erhält am Ende jeder Runde eine zufällige Elite-Stärkung.,"Alla fine di ogni round, ottieni un Bonus Élite casuale.","No final de cada rodada, obtenha um reforço de elite aleatório.",各ラウンド終了時に​ランダムな​エリートバフを​得るにゃ。[b][/b]
KEYWORD_ELITE_PLOW_NAME,Elite Buff: Plow,,Ventaja de élite: Arado,Bonus d'élite&nbsp;: Tête baissée,Elite-Stärkung: Pflug,Bonus Élite: Aratro,Reforço de Elite: Arado,エリートバフ:蹂躙
KEYWORD_ELITE_PLOW_DESC,Trample. Moves one space towards attackers when damaged.,,Pisotón. Se mueve una casilla hacia los atacantes al sufrir daño.,Piétinement. Se déplace d'une case vers ce qui lui a infligé des dégâts.,"Trampel. Bewegt sich ein Feld auf Angreifer zu, wenn es Schaden erleidet.",Calpestamento. Si muove di uno spazio verso gli attaccanti quando subisce danno.,Atropelamento. Move-se um espaço na direção de agressores ao sofrer dano.,蹂躙にゃ。​ダメージを​受けると​攻撃者に​向かって​1マス移動するにゃ。[b][/b]
KEYWORD_ELITE_MEGA_NAME,Elite Buff: Mega,,Ventaja de élite: Mega,Bonus d'élite&nbsp;: Méga,Elite-Stärkung: Mega,Bonus Élite: Mega,Reforço de Elite: Mega,エリートバフ:メガ
KEYWORD_ELITE_MEGA_DESC,Takes one less turn per round. +50% health and damage,,Juega un turno menos por ronda. +50 % de salud y daño.,"Joue un tour de moins par manche. PV +50&nbsp;%, Dégâts +50&nbsp;%.",Hat einen Zug weniger pro Runde. +50&nbsp;% LP und Schaden.,Effettua un turno in meno per round. +50% alla salute e al danno.,Utiliza um turno a menos por rodada. +50% de saúde e dano.,ラウンドごとに​ターンが​1回少ないにゃ。​体力と​ダメージ+50%。[b][/b]
KEYWORD_ELITE_MAD_NAME,Elite Buff: Mad,,Ventaja de élite: Locura,Bonus d'élite&nbsp;: Frénésie,Elite-Stärkung: Wahnsinnig,Bonus Élite: Follia,Reforço de Elite: Insanidade,エリートバフ:狂気
KEYWORD_ELITE_MAD_DESC,Madness. Takes an extra turn per round. Gains +1 all stats and heals 4 when it gets a kill.,,Locura. Juega un turno extra por ronda. Obtiene +1 en todos los atributos y recupera 4 PS al matar a un enemigo.,Folie. Joue un tour bonus par manche. Hausse de stats +1&nbsp;et PV +4&nbsp;pour chaque ennemi tué.,"Wahnsinn. Hat einen Zug mehr pro Runde. Erhält einen Bonus auf alle Attribute und heilt sich um 4&nbsp;LP, wenn es etwas tötet.",Follia. Effettua un turno aggiuntivo per round. Ottiene +1 a tutte le statistiche e si cura di 4 quando uccide qualcuno.,Insanidade. Utiliza um turno adicional por rodada. Obtém +1 em todos os atributos e cura 4 de saúde ao realizar uma baixa.,狂気にゃ。​ラウンドごとに​追加ターンを​得るにゃ。​キルを​取ると​+1全ステータスと​4回復を​得るにゃ。[b][/b]
KEYWORD_ELITE_BOSSMAD_NAME,Elite Buff: Mad,,Ventaja de élite: Locura,Bonus d'élite&nbsp;: Frénésie,Elite-Stärkung: Wahnsinnig,Bonus Élite: Follia,Reforço de Elite: Insanidade,エリートバフ:狂気
KEYWORD_ELITE_BOSSMAD_DESC,Madness. Gains +1 all stats and heals 4 when it gets a kill.,,Locura. Obtiene +1 en todos los atributos y recupera 4 PS al matar a un enemigo.,Folie. Hausse de stats +1&nbsp;et PV +4&nbsp;pour chaque ennemi tué.,"Wahnsinn. Erhält einen Bonus auf alle Attribute und heilt sich um 4&nbsp;LP, wenn es etwas tötet.",Follia. Ottiene +1 a tutte le statistiche e si cura di 4 quando uccide qualcuno.,Insanidade. Obtém +1 em todos os atributos e cura 4 de saúde ao realizar uma baixa.,狂気にゃ。​キルを​取ると​+1全ステータスと​4回復を​得るにゃ。[b][/b]
KEYWORD_ELITE_TWIN_NAME,Elite Buff: Twin,,Ventaja de élite: Gemelo,Bonus d'élite&nbsp;: Jumeau,Elite-Stärkung: Zwilling,Bonus Élite: Gemelli,Reforço de Elite: Gêmeo,エリートバフ:双子
KEYWORD_ELITE_TWIN_DESC,Half health. Comes with a twin.,,La mitad de la salud. Le acompaña su gemelo.,PV divisés par deux. Invoque un jumeau.,Halbe LP. Hat einen Zwilling.,Metà salute. Ha un gemello.,Saúde pela metade. Possui um gêmeo.,体力半分にゃ。​双子と​一緒に​登場にゃ。[b][/b]
KEYWORD_ELITE_HARDY_NAME,Elite Buff: Hardy,,Ventaja de élite: Robustez,Bonus d'élite&nbsp;: Tête dure,Elite-Stärkung: Abgehärtet,Bonus Élite: Tenacia,Reforço de Elite: Resistente,エリートバフ:頑強
KEYWORD_ELITE_HARDY_DESC,Immune to stuns.,,Inmune al aturdimiento.,Immunité aux étourdissements.,Immun gegen Betäubung.,Immune allo Stordimento.,Imune contra atordoamento.,スタン免疫にゃ。
KEYWORD_ELITE_STICKY_NAME,Elite Buff: Sticky,,Ventaja de élite: Viscosidad,Bonus d'élite&nbsp;: Colle,Elite-Stärkung: Klebrig,Bonus Élite: Collante,Reforço de Elite: Grude,エリートバフ:ねばねば
